,Clean_Tweet,sentiment
228,posted photo national museum air force,Positive
229,chuck,Positive
230,party naughty body got wax,Positive
231,damn red lobster good,Positive
232,know know,Positive
233,filter complex tonight soaking,Positive
234,cool,Positive
235,tell done threw away,Positive
236,could venue thing outside food,Positive
237,triple making,Positive
238,standard home,Positive
240,southern cal bush,Positive
241,place,Positive
242,poetic justice instrumental hook via,Positive
244,manual,Positive
245,literally love hit account pretty desperate attention spend mine spend,Positive
246,amazing get wrong every time,Positive
248,always working even spot camera get front,Positive
249,gosh wait watch,Positive
250,save day,Positive
251,hear word bold new progressive one time,Positive
252,love every second,Positive
253,people drank believing every word,Positive
254,hey winner,Positive
255,winter wonderland upper east side,Positive
257,went footer year get bigger topper tomorrow merry,Positive
258,quick see turned typically like use twitter car stuff anyway like big screen,Positive
259,happy give,Positive
262,maybe,Positive
264,wrap,Positive
266,give try yes actual name awesome,Positive
267,tea,Positive
268,right,Positive
269,long time live show tonight venue getting setup luke warm water lemon honey fun,Positive
270,ouch,Positive
271,truly believe name,Positive
272,hey love girl much,Positive
273,come green like black cat,Positive
275,knew,Positive
277,second job,Positive
278,feeling future first time specific directed way,Positive
279,told best player year draft class,Positive
281,whew,Positive
282,like,Positive
284,let good see tonight,Positive
285,great hit way answer bell,Positive
286,final josh brewer story tribune,Positive
287,yeah much shot minor color,Positive
289,truer spoken perfect time,Positive
291,know exactly search every time apologize case,Positive
296,bet could already find,Positive
297,heart happy time together,Positive
298,posthumous album pace sell first week,Positive
301,follow,Positive
302,come tomorrow watch try win unprecedented straight pop serving really good game time food come cheer good,Positive
304,thank found twitter page merry,Positive
305,beginning semester end,Positive
306,default son manual,Positive
307,posted photo,Positive
309,meant old,Positive
310,one,Positive
311,early quarter,Positive
312,carl done,Positive
313,think winner,Positive
314,rejoin,Positive
315,annihilation put tua last weekend result would different,Positive
316,whole heart,Positive
317,everyone looking hot looking like,Positive
318,love,Positive
320,whats free jay meek gave answer already well answer special request haircut listen,Positive
321,know rotation,Positive
322,feeling great,Positive
323,beat tho,Positive
326,arena bound,Positive
327,hail satan,Positive
328,vista reception center pavilion,Positive
330,someone say sweep,Positive
331,hot water lemon juice drink like tea work every time,Positive
332,never budge flush,Positive
334,ready bed,Positive
336,gone,Positive
337,stinking awesome,Positive
338,know use,Positive
340,explainer extradition work,Positive
342,village,Positive
343,love baby girl,Positive
344,live life love art,Positive
345,thanks,Positive
346,getting live duck,Positive
348,true like past midnight,Positive
349,yeah saw late tried jump back inside hole closed fast lot one last week huge hole right gut like first intent bounce outside look rather gap first bounce,Positive
350,listening new album,Positive
351,decided walking around degree driving rainstorm short morning arm covered uncovered stay warmer reverse,Positive
352,every time sum give,Positive
354,love gritty brisket cheese steak,Positive
356,body naked time,Positive
357,beautiful patriotic tree girl colorado,Positive
358,let play basketball,Positive
359,last,Positive
360,angel literally,Positive
361,mason extra point good left,Positive
362,slayer natural set,Positive
363,try rationalize driving influence,Positive
365,went class came home watched went hospital home daughter,Positive
367,sign rick mitigate take social medium,Positive
368,jimmy come home,Positive
369,put jersey alright,Positive
371,one magic first show broadway experience real broadway show cause really cool,Positive
372,ma la,Positive
373,come home late whole family like intervention,Positive
374,done social medium number know reach good bye,Positive
375,sir need break time,Positive
376,beautiful knockout,Positive
377,public land example,Positive
378,perry great man well,Positive
380,best phone,Positive
381,punt start,Positive
382,water might chocolate milk still lactose,Positive
384,get,Positive
385,midst process still year plan great see similar vision,Positive
386,thank great tonight,Positive
387,opponent series put jersey pose around ring,Positive
388,make even upcoming week stay tune biggest day yet come,Positive
390,thing hate adore fine as self,Positive
391,agree,Positive
393,thanks everyone interested print available,Positive
394,hasta la,Positive
395,job might great fit wireless retail consultant consultant,Positive
396,skip wine make feel classy break physically emotionally,Positive
397,quite physical game,Positive
398,high,Positive
399,come get lit waiting order,Positive
400,two classic,Positive
401,pretend love,Positive
402,always admired afar today got experience work inspiring away noise couple,Positive
403,thanks,Positive
405,mad best college ridder win trophy tonight,Positive
406,as chick,Positive
407,turn corner high school game opener season basketball support positive,Positive
409,soon,Positive
410,yea stay beautiful,Positive
412,song slap bos,Positive
414,know touchdown town,Positive
416,national airport,Positive
417,solid joke,Positive
418,day let week half day,Positive
419,get goal weight nobody able tell thing,Positive
421,really mad cup clearly long sigh,Positive
422,fantasy land someone planet know planet,Positive
423,need tonight,Positive
424,appreciate,Positive
425,talk smack ready,Positive
427,take lead start never gave solid night wine gold good night welcome,Positive
428,back,Positive
429,high school awesome person,Positive
430,snow tomorrow mostly,Positive
431,first annual visit house house,Positive
433,statue long still use someone passing,Positive
437,whatever,Positive
438,would dominant team sure,Positive
441,beauty lad grab beer burbank like every week,Positive
443,president trump made,Positive
444,used dad told get turn fish thought transforming,Positive
445,absolutely gorgeous long hair short cute hell,Positive
446,think need moment silence,Positive
447,day mostly dungeon crawl mostly small photograph also oar original,Positive
448,strange fox fetish close player kind weird,Positive
450,like listen like life change confidence self love change make small life stop jealous live way instead as bitch thank yew,Positive
451,friend,Positive
452,training get minute,Positive
453,fun realize someone accidentally like picture,Positive
454,bought left behind last time new well exchange,Positive
455,know right several describe trash never resident,Positive
456,knew gone win,Positive
459,light rain overcast temperature humidity wind,Positive
460,legend,Positive
461,made,Positive
462,definitely sex good hey,Positive
463,man,Positive
464,yeah fact took hour get home,Positive
465,need end,Positive
466,truer never spoken,Positive
467,even look blackboard,Positive
470,collusion,Positive
472,day feel everyone around flip side day feel like one bother talk love emotional,Positive
473,wait til calling,Positive
474,good luck whoever marry though,Positive
475,album alchemist currency well solo album,Positive
476,say city want development even housing,Positive
477,love saw singing retreat hope fun,Positive
478,time living working west,Positive
479,butler ave butler ave,Positive
480,morning,Positive
481,feeling,Positive
482,thanks eric amazing,Positive
483,never face jail,Positive
484,work way,Positive
485,sign view point,Positive
486,right front pizza,Positive
488,way make mad bag take one like whole as box,Positive
489,immigration outside canada parliament via,Positive
491,well opinion would probably one saw play lot cannot leave magic conversation time,Positive
492,love funk,Positive
494,would cool see lock high enough play right away would love fall place could study master imagine drew lock taking drew,Positive
495,woohoo,Positive
496,lead,Positive
497,let guy next host everyone happy,Positive
499,royal couple,Positive
500,union black toe went almost,Positive
502,really want someone give reason,Positive
503,add rep jerry ending investigation become chairman,Positive
504,wonderful picture merry,Positive
505,weird looking gay girl mistletoe two bar one took like back like gay dude suck dick chad joke chill,Positive
506,dice control comer,Positive
507,thought going look like japan national race glad race posted look epic,Positive
508,dude one experienced ring yet nothing serious,Positive
510,literally,Positive
511,thought number two could landed punch,Positive
512,test lat,Positive
513,want boo watch night,Positive
516,drinking original captain club,Positive
517,little hockey lot rock roll hockey stick one string bass guitar,Positive
518,got baby,Positive
519,boxing ranch apartment,Positive
521,message thread ever read twitter also time favorite hard top thanks,Positive
522,many bloom along way heart set amarillo,Positive
523,craving queen season,Positive
524,totally maturity level good,Positive
526,fabulous,Positive
527,let ahead bring tweet back,Positive
530,yeah guy family full left seek revenge screwing innocent people process think get,Positive
531,last day absolute best grateful,Positive
533,also,Positive
536,much fun making gingerbread stopped falling apart love tree circle,Positive
537,super blue liberal state would get far le see every day job,Positive
538,fun night thacker making ginger bread house watching play basketball hanging brent coach family archbishop high school,Positive
539,drinking,Positive
540,nothing season making sick eating many good job niece,Positive
541,depression save day,Positive
542,damn straight prize possession movie collection ray set,Positive
543,great visual reference,Positive
544,funny,Positive
546,always show game watching understand,Positive
547,hilarious,Positive
548,tua got absolutely best player college football,Positive
549,work,Positive
551,strong economics,Positive
552,well blocked want disengage call drink dinner,Positive
553,blind tonight black cat got dark harry convinced raccoon,Positive
554,please whole life,Positive
555,hello den,Positive
556,wait frosty someone far left tell horrible parent let watch different special,Positive
558,never change,Positive
560,dear sealed fate,Positive
561,definitely country singer,Positive
562,already knew getting,Positive
563,year later finally data map tie thesis take back simpler time,Positive
564,drinking north east,Positive
565,love well crucial comprehend unfortunately,Positive
566,make change career path type power going box let back school type power boxing,Positive
567,got sweater,Positive
568,happiest long time,Positive
569,always perry play,Positive
572,wine gold winner good night,Positive
573,got hair done act,Positive
574,love dad snap everyday randomly,Positive
575,gorgeous,Positive
577,first instinct hear something happening pop culture twitter right,Positive
578,got,Positive
579,incredible time apple store union square really appreciate support felt good play album day left,Positive
580,way start card,Positive
582,tony,Positive
584,make pee smell like honey,Positive
585,forgot tag,Positive
586,talk nice show bout,Positive
587,wrong gen woody central number reserve barrel bourbon brewer saying order exist would care brewer reserve bourbon barrel,Positive
588,yes road much impressive agree given among,Positive
589,may live long like like long live good time someone food drink bough round,Positive
590,year probably,Positive
593,win team boot,Positive
594,like shamrock,Positive
595,somebody said white larry bird,Positive
596,thank love much honor chosen,Positive
597,amen,Positive
598,thank love much honor chosen,Positive
599,think ready,Positive
600,always two,Positive
603,fan bouncing basketball court getting basketball made shot left,Positive
604,would anyone guess,Positive
605,well least half whistle suppose,Positive
606,wore matching harry potter watching best way spend weekend,Positive
608,prefer lord,Positive
609,wow unaware whiny sore,Positive
610,think big bank better,Positive
611,black educated,Positive
612,butler ave butler ave,Positive
613,month market report,Positive
614,keep,Positive
615,legend,Positive
617,great get first notch win column tonight way thanks everyone came thanks sign well,Positive
618,saw bumblebee favorite blockbuster movie big action big great music song back life regal premium experience see come spider man next rule,Positive
619,naughty get time nice behavior castle,Positive
620,would throw way better,Positive
623,still around find right,Positive
624,always right never left,Positive
625,tell pretty,Positive
626,video brought love,Positive
627,love,Positive
629,please tell pin forgot need pay cinnamon,Positive
631,good team like hilarious people try prop like anything,Positive
632,merry dad bought see two time next year best present ever,Positive
634,everyone take time donate le fortunate love,Positive
635,happy see,Positive
636,lord wish,Positive
638,come good time must older club polarity west gate,Positive
639,think volleyball far athletic female blown away fast strong,Positive
640,feel like great uncle sonny womanizer tell,Positive
641,winning,Positive
642,pretty pas hammer,Positive
643,sense,Positive
644,nobody hit like bra,Positive
645,thing even get blatant late hit,Positive
646,love entering chance win love,Positive
647,trip,Positive
648,movie interested watching,Positive
649,good assessment change subject bribe,Positive
650,brother came room like weed made room smell like,Positive
651,happy finally met friend,Positive
652,point,Positive
653,goodness,Positive
654,market,Positive
656,another night lord treatment better banquet,Positive
657,touched home home,Positive
658,cast ballot click player think house vote,Positive
660,drake drake actually know killy tho,Positive
661,time,Positive
662,certain night like,Positive
663,pea soup,Positive
665,scrappy one,Positive
667,feel thinking minute ago,Positive
668,fun time annual parade family,Positive
670,welcome,Positive
671,thank,Positive
673,sure respect world lost home would game tua game say play anyone actually dumb michigan,Positive
674,happy birthday link soon,Positive
675,hit hoe,Positive
676,sometimes get launcher standing next doesnt connect properly,Positive
677,see show perfect family candlelight pavilion,Positive
678,excited see going give world,Positive
680,washed car today send mobile ranger thanks,Positive
682,ready meet new friend phoenix,Positive
683,promise gone miss,Positive
684,thank supporting everything love long,Positive
685,ready get cock geared,Positive
686,drake great artist even question put mood scorpion could never,Positive
688,twin hallmark,Positive
689,come back aint everybody feel pain,Positive
690,everything shut face satanic heathen,Positive
692,cute,Positive
693,red brown purple,Positive
694,got min set tonight,Positive
695,smoked god,Positive
698,drinking merman,Positive
699,working house trying see lane,Positive
700,knockout,Positive
701,like willing fight,Positive
702,ready get,Positive
703,play,Positive
704,hate say talking possibility since opening game late hit garbage hit garbage time go pretty much mean,Positive
705,friend,Positive
706,time text back time post status,Positive
708,wait see,Positive
709,still get natty back back,Positive
710,great last weekend,Positive
711,special,Positive
713,army pie,Positive
714,dont jinx hold national title first time since,Positive
716,buzzing,Positive
717,thank,Positive
719,wow,Positive
720,great win,Positive
724,working much time left score,Positive
725,great job son enjoy college,Positive
727,one looking like ever going win one said game picture came,Positive
728,glow west bar music hall,Positive
729,thanks dad army half track gunner,Positive
730,upper body complex finding dream different birthday grind brazil canada,Positive
731,one,Positive
733,hurted,Positive
734,country music,Positive
735,formula para son poco,Positive
736,admit average game tonight,Positive
737,dang almost,Positive
738,church morning,Positive
739,would think guy would realize could make,Positive
741,season gratitude union market,Positive
743,love rock red lip red shade still fan ruby woo mac thousand,Positive
744,act got rooster funeral scene great show without better bring rooster back,Positive
745,left mac engaged immediately openly fan even went far say life never getting hand,Positive
746,music opening sequence noble sinister stirring,Positive
747,got package wristband one well got today one,Positive
748,early event watching game,Positive
750,corny get good girl,Positive
752,though,Positive
754,know specially time female getting,Positive
755,fact got nominated happy,Positive
759,cute,Positive
760,aye love one,Positive
761,second half three big area left driving lay sixth field goal final,Positive
762,holly jolly plaza,Positive
765,old as white men respect black take crayon write name vote,Positive
766,friendly reminder drink drive sleeting jail right right,Positive
769,closet,Positive
771,still tuck boot,Positive
772,twitter join bar grill want miss street,Positive
773,watched show time yesterday,Positive
774,literally idea,Positive
775,text,Positive
776,keep classy learn lot young men nothing pure class,Positive
777,made bought village set instead big tiny made,Positive
778,somehow quarterback college football,Positive
779,got sneak peak unreleased update let tell flourishing work,Positive
780,first kitchen,Positive
781,tonight,Positive
782,back seed game go final,Positive
783,like,Positive
786,like get going see,Positive
787,sooner bowl winning trophy,Positive
788,looking work check job nursing,Positive
790,want run,Positive
791,different man,Positive
792,living cholesterol laden truth,Positive
793,world first magician,Positive
794,right way,Positive
796,bien favor,Positive
798,big time,Positive
800,posted photo national museum air force,Positive
801,hate look cute take,Positive
803,champagne deck feel,Positive
804,body much feel like old lady,Positive
805,si got said shivering,Positive
807,united ducking truth,Positive
809,potato chip air ratio chip bag unreal,Positive
811,beautiful short film playground inclusion international acclaim,Positive
812,girl,Positive
813,best find couple,Positive
814,message must repeated throughout denomination especially among,Positive
815,thread,Positive
818,much work,Positive
819,need get done also need buy,Positive
820,wanting fly paying back time,Positive
821,brought henny party,Positive
822,got big heart understand take,Positive
824,business coppin dam,Positive
825,thank friend right back cha,Positive
826,thanks babe,Positive
827,good as question,Positive
829,clown,Positive
831,coke,Positive
832,happy birthday one love,Positive
833,bunch would love find name shame,Positive
834,said like kim possible high school,Positive
835,show amor,Positive
838,tighten as hoe,Positive
841,important,Positive
842,brother sent,Positive
843,terrible friend,Positive
845,thread general kelly stepping chief staff general kelly get second june anon general,Positive
847,think drill first round draft pick head also winner,Positive
849,yeah,Positive
850,russia,Positive
851,bring,Positive
853,sparkle fade though,Positive
855,let,Positive
857,king negro sit,Positive
858,vote,Positive
859,tequila bye,Positive
861,bailey sawyer first birthday,Positive
862,think twitter tonight,Positive
864,winning state championship today,Positive
865,period,Positive
866,got work,Positive
867,know return imminent future,Positive
869,one tomorrow way would,Positive
870,everyone follow boy,Positive
871,didnt know twitter famous,Positive
872,wow another video,Positive
873,glad everyone safe awesome job,Positive
874,thank really appreciate,Positive
875,best one yet,Positive
876,wow never posted week yes miss please come back soon,Positive
879,fellowship party fun whisper challenge,Positive
881,clear sky broken temperature humidity wind,Positive
882,favorite drag world like every time,Positive
887,need upside julio pick two thanks,Positive
888,tell kind big deal,Positive
889,align people share also support growth success,Positive
890,game pebble brook first win event beat mae pebble brook led harper mae led,Positive
891,getting nog better,Positive
892,coca,Positive
895,win know wrong,Positive
896,felt meant team success tua,Positive
898,yep amazing guy stay employed,Positive
899,roach tha house,Positive
900,weather watch winter could bring snow region early morning day running regular schedule could weather worsen please check social medium information,Positive
901,convention center,Positive
903,far away someone probably probably never find,Positive
904,brand new,Positive
905,dingo,Positive
906,latter,Positive
907,jungle global,Positive
908,send middle ice head ever,Positive
910,anyone already watch documentary roger stone get roger stone watching right,Positive
911,awesome teamwork midnight exit room,Positive
912,roll,Positive
913,everywhere round roll stepped upon contribute fall careful,Positive
914,hired may still really good jordan love case,Positive
915,taking bow song performance anna,Positive
917,heavy beat producer music rap,Positive
919,understand,Positive
921,tree,Positive
923,willingly long forgot decent,Positive
924,many urban feel like,Positive
925,house also abbey worthy plot twist,Positive
926,next time,Positive
928,definitely incredible talent open going incredible season,Positive
929,thank next,Positive
930,build relationship lead move football life,Positive
931,honestly cannot wait day,Positive
932,rocking visor,Positive
933,want give big special man life name excellent great step dad also mentor leader father figure friend respectful person discipline morality thank sorry love,Positive
934,could never forget,Positive
935,course,Positive
936,got attractive taken,Positive
937,turn,Positive
938,would rather,Positive
939,let anything interfere discover experience let get past learn,Positive
940,excellent,Positive
942,let tell something tonight worst time thanks boxing,Positive
944,way,Positive
945,one time brought house whole house left disrespectful life,Positive
947,nearly finished help grandson winter schoolhouse display winter,Positive
948,picked like nothing,Positive
950,grinch stole old place,Positive
952,land punch year old player ice waving crowd like heavyweight title embarrassing,Positive
953,juke joint speedway,Positive
954,beach,Positive
958,really need sleep realize actually old past bedtime,Positive
960,chill,Positive
961,lady,Positive
964,wait find boxer get behind promote,Positive
965,find funny people even graduate high school come sideways,Positive
966,hello canada spent day scouting weekend workshop teach partnership network thanks incredible teaching opportunity wait,Positive
968,give listen,Positive
969,girl stayed quiet,Positive
970,put mixer,Positive
971,play dorado,Positive
972,listening experience every single time,Positive
973,tonight fam,Positive
974,middle finger lot fun,Positive
975,know,Positive
976,wow,Positive
977,mane real ready next,Positive
978,period,Positive
979,tonight,Positive
981,there day chill,Positive
983,stomach really cannot wait home next week,Positive
984,new performer neck trying decide one series mim one,Positive
986,like driver mental health,Positive
987,finish please,Positive
989,twitter getting life daily point,Positive
990,come good time must older club polarity west gate,Positive
992,many watching united game break sport curse,Positive
993,watch young bull,Positive
994,love grit determination strength,Positive
996,post tomorrow morning,Positive
998,pretty mid probably finish hand mode,Positive
999,wow,Positive
1000,mean people actually road driving red light red,Positive
1001,poco last weekend get porky punch,Positive
1002,meet,Positive
1003,always next day,Positive
1004,drinker,Positive
1007,better time,Positive
1008,everything fun play back,Positive
1009,possible commitment environment working people time wait must fault yeah ticket,Positive
1010,thanks,Positive
1011,life really coming together,Positive
1012,apparently guy come good,Positive
1013,tea someone,Positive
1014,glacier park since end fresh air hike way overdue sure looking like winter wonderland,Positive
1015,look next week quarter moon make great shooting per,Positive
1018,convention center,Positive
1019,wow alley cat ally star rating charity navigator donate trap neuter release care,Positive
1020,like moral,Positive
1022,really since healthy,Positive
1023,happen someone post video,Positive
1024,game even middle play see flying peripheral fine,Positive
1025,good god,Positive
1026,tweet ran across rotation one trade,Positive
1027,penultimate day holiday ticked another national park time really justice really,Positive
1028,first night new apartment,Positive
1030,tonight led,Positive
1031,make,Positive
1032,man woman acceptable,Positive
1033,really spent,Positive
1034,party,Positive
1035,going hope literally mean boy,Positive
1036,bird eye view fort pro iso fort history architecture historical park drone,Positive
1038,country take,Positive
1040,yet constantly smart,Positive
1041,bumping tonight domain,Positive
1042,every driver thats,Positive
1043,beverage help reduce fossil fuel dependency,Positive
1044,think,Positive
1046,watching,Positive
1047,every time say open bar take challenge,Positive
1049,whole point work,Positive
1050,mean bark,Positive
1051,know lead actor creature movie professor great comedy hold ghost character actor,Positive
1053,relate,Positive
1055,year winner award le,Positive
1056,take hit nice ticket,Positive
1057,city,Positive
1062,beautiful,Positive
1064,knock knock heaven,Positive
1065,tonight,Positive
1066,recap tonight game game star star star goal,Positive
1067,really,Positive
1069,final beat,Positive
1073,check awesome installation basin still got time basin,Positive
1076,imagine asthma,Positive
1077,simply beautiful tonight,Positive
1078,also thought rat coon,Positive
1079,mine flooded couple day ago,Positive
1080,family,Positive
1083,check,Positive
1084,night alright black come say,Positive
1085,enjoy ako,Positive
1088,ice goal lead minute half left second period,Positive
1090,wave come still sorry meet harry back need friendly san let know close family would happy show around help local,Positive
1091,whiskey bottom think brother went like time last year,Positive
1092,expand pace need ownership team pitch fan support first class across board already gold standard league,Positive
1095,right hip,Positive
1096,back back trophy,Positive
1098,wine,Positive
1099,pro tip sitting bar sit next drink station make awkward eye contact every single member bar staff,Positive
1100,knew coming,Positive
1102,reason,Positive
1103,like would get fight practice,Positive
1104,care much great director,Positive
1106,serious two year commitment unless trump twitter,Positive
1107,mount gif ever,Positive
1108,beautiful,Positive
1109,breakfast dual language magnet school,Positive
1110,rock,Positive
1111,short term memory like big flashy well,Positive
1113,old,Positive
1114,else spirit tree,Positive
1115,use money pay college make sure buy many stock last year would none,Positive
1118,dude shut,Positive
1121,wild,Positive
1122,wont household,Positive
1123,follow girl trying going,Positive
1124,either nose getting better getting,Positive
1125,send sticker brother,Positive
1126,vision inspire,Positive
1127,tired cute,Positive
1128,got better two day ten weekend special valentine selection dual team,Positive
1129,sweet,Positive
1130,nothing,Positive
1131,might around drink bleach,Positive
1132,yea character really combination think part underdog role,Positive
1133,great night hockey sold crowd deadline coverage,Positive
1135,love,Positive
1137,time want eye doctor,Positive
1138,sitting watching movie granddaughter literally fell asleep arm laying daddy home,Positive
1139,must realize united ticket higher also sell merch salty,Positive
1140,sure affect officer rest life way another,Positive
1141,watch ultimate see tag immediately left twitch,Positive
1142,joke,Positive
1143,life without parole,Positive
1144,another one,Positive
1145,neither sen dole,Positive
1147,fantastic,Positive
1148,point well get another,Positive
1150,wow bad game tua cost going punish dude play,Positive
1151,blue,Positive
1152,tiffany,Positive
1153,wonderful concert afternoon,Positive
1155,united truth,Positive
1158,gym many remember seeing many time laugh many care,Positive
1159,good,Positive
1160,wish could,Positive
1164,neither,Positive
1166,grateful celery onion garlic ham tofu providence,Positive
1169,night wish,Positive
1170,thumbnail cute tried something different super girly,Positive
1171,dumb look good lord dude,Positive
1172,interested job could great fit,Positive
1173,house band ken guitar,Positive
1176,cowboy,Positive
1179,cold as,Positive
1180,cast ballot click player think house vote,Positive
1183,show,Positive
1184,trophy runner,Positive
1185,heading home,Positive
1186,car working amazing,Positive
1187,god bless,Positive
1188,team taking home win purchase necessary see official,Positive
1189,man need nice bath soothing music,Positive
1190,show school work black hair waterline mind,Positive
1191,turn baby loud year old feel,Positive
1192,copped wear next year,Positive
1193,hope win,Positive
1194,short petite move,Positive
1195,mature beyond getting,Positive
1196,bonus hockey coming tied,Positive
1199,someone answer,Positive
1200,la amor,Positive
1202,coach,Positive
1203,simple tua unreal take glass,Positive
1204,another one traveling,Positive
1205,nutshell,Positive
1208,already,Positive
1210,time back church,Positive
1214,want screen fixed,Positive
1215,tua even get close winning,Positive
1216,back soon,Positive
1218,way could please get hello big fan sir,Positive
1219,really making tea,Positive
1220,overtime station come,Positive
1221,make song also made song,Positive
1222,boy assure boy give,Positive
1224,watching channel news,Positive
1226,going try start watching addition,Positive
1227,code entire,Positive
1228,start,Positive
1229,sorry loss lot love,Positive
1231,salty like trash meat serve,Positive
1232,helping young girl jail,Positive
1233,remake crazy rich white cast trying woke finally admit utter,Positive
1234,never skinny though,Positive
1235,living room way mid century,Positive
1237,family mine bend knee dad grandfather let past past,Positive
1238,would would told never ever order anything know least lame company never never order sorry,Positive
1239,ready graduate,Positive
