,Clean_Tweet,sentiment
1960,naked martin ate sandwich said stop bullying naked,Negative
1973,cloudy rainy day,Negative
1982,bravo pour beau nous dire chapeau,Negative
1990,wait watch fight along,Negative
2009,knew losing hurt one day day today,Negative
2010,cry,Negative
2011,poor man job responsibility reimburse looking look stupid,Negative
2018,fight screaming reason,Negative
2041,crazy petty change decision get education play football got people talking nonsense many mind came time select university stop tripping,Negative
2047,bias,Negative
2053,people dumb literally cook without manual labor art form reason,Negative
2057,anyone offended hart,Negative
2059,watching fallen world,Negative
2074,well roommate left month know battle keep finding near desk lose mind first,Negative
2079,see first fight boxing vicious,Negative
2083,many people hate love rant goat,Negative
2088,rarity alone home fire wine,Negative
2091,aint even good enough average every elite recruit,Negative
2097,struggling,Negative
2102,waste time honest see complete failure even sure need congress surely need writing politics quite pathetic home useless,Negative
2104,catch tonight miss living ask blue flame lounge,Negative
2118,think starting conversation think saying know struggle say struggle,Negative
2122,completely wrong headman apparently bad,Negative
2129,whenever around wrong,Negative
2137,next stop,Negative
2142,steal absentee fill suit voter fraud election fraud,Negative
2155,still believing walking barefooted cold floor sick,Negative
2161,raise glass pat lower sam michigan,Negative
2165,bitch know full story,Negative
2170,fire fire coming heart long liberty,Negative
2175,shopping rodeo drive broke shop target rodeo drive,Negative
2177,nasty,Negative
2182,forget left went back,Negative
2187,stop,Negative
2188,sorry thought said real music,Negative
2194,even get penalty late hit,Negative
2210,craving craving mad man,Negative
2218,random thought someone petty drug case drop dealer hole get time treasonous really think,Negative
2233,backfield loss seven need punt,Negative
2243,anything class even singing alone tune uke front first time,Negative
2248,used one already fail,Negative
2249,got new glass stopped hair adoration rob never,Negative
2262,swear cause become tight as fake as,Negative
2264,wrong,Negative
2273,coward,Negative
2277,say pay however much birth read read murder get way le regardless,Negative
2278,ask governor look case brown old year old rapist looking prison,Negative
2284,shoot,Negative
2285,hate fighting hockey right get predatory hit,Negative
2290,need fight everything corrupt cheating stop nothing win ballot vote,Negative
2295,sad pathetic little man whose personal getting draft bone foot military country serve difference,Negative
2296,football chip pay cut year deal worth million option year,Negative
2297,crazy course hell would agree said,Negative
2305,many jealous,Negative
2312,wondering hell suddenly,Negative
2314,upset look grown,Negative
2316,fighting everything supposed could star boxing,Negative
2318,west another stop,Negative
2319,forget asinine take disgusting turn,Negative
2326,maybe ill tracer,Negative
2328,sorry one believe,Negative
2332,thought steal another election get trust brutal,Negative
2335,crush let get birthday,Negative
2342,verify student let even login verify losing,Negative
2347,gross,Negative
2348,night getting ready bed remove knee brace knee cap split still lot pain stop,Negative
2352,body triangle could done sub calf making sense shin trapped could put weight know could sat,Negative
2356,missing even talking,Negative
2370,early takedown moody nothing else,Negative
2373,dumb,Negative
2376,physically emotionally drained,Negative
2378,breaking news ill informed,Negative
2380,instant death,Negative
2381,sick,Negative
2383,losing money empty last game,Negative
2390,damn,Negative
2391,doubt,Negative
2393,as cry,Negative
2398,damn said never got rid brilliant idea money would gifted skin bought one,Negative
2402,sad,Negative
2407,breaking curse,Negative
2408,earth penalty,Negative
2411,rage easily,Negative
2415,first fight lit,Negative
2416,hate place leave,Negative
2439,use hate men cause fake feminist hit people,Negative
2445,voter fraud case force new election wait republican crime,Negative
2475,hair bale neck still tack trying leave rude,Negative
2477,clean room closet nasty direct reflection piss poor someone else child hoe need as beat,Negative
2478,maybe pussy maybe tequila piss,Negative
2479,lost one man,Negative
2492,stop everywhere,Negative
2526,leave dog alone,Negative
2528,block side drip show via,Negative
2529,cloudy rainy day,Negative
2534,cup attendance record broken stadium tonight previous record set stadium,Negative
2536,trophy see destroy,Negative
2537,say nothing personal absolutely going fight open video swear could still hear,Negative
2540,tell saw fight,Negative
2541,born raised hate,Negative
2543,crazy,Negative
2550,blended swing wrong person,Negative
2558,rushing get home watch darn shopping cutting outlander time,Negative
2564,girl mouth really broke,Negative
2566,moody blue voice via,Negative
2584,angry might next person eye contact,Negative
2586,almost afraid may say ever hear skip find almost many black men fought white ever code,Negative
2587,red dead redemption huh,Negative
2588,believe millionaire terrible basketball player,Negative
2593,working brain disgrace boston university,Negative
2599,bra miss as funny hell,Negative
2610,food medicine bataan death march fight even though,Negative
2625,suggest study history say living money even get genocide native given infected smallpox white equality,Negative
2627,also bitter,Negative
2637,fire,Negative
2639,drunk call block,Negative
2670,really something wrong,Negative
2672,want find gay depression really stopping hunt,Negative
2679,livid,Negative
2686,worse needing pee beer waiting long as line country concert,Negative
2690,survive basically slowly die colder,Negative
2698,think several people fox news daytime program smith judge look replacement tired maria harp,Negative
2700,hide,Negative
2705,normally today gravel today,Negative
2706,support three horrendous kelly sorry,Negative
2719,know weird look right,Negative
2720,drunk tonight really winning war,Negative
2721,as back hurt,Negative
2725,maybe worst take time,Negative
2730,cold snow going really upset,Negative
2738,everybody took bi tell dont look like overdone,Negative
2771,pronounce one name correctly hurricane season able winter person say latch state correct follow lay shun kill,Negative
2772,really enjoying fight con nothing merry like bunch drunk killing,Negative
2781,as cry opening,Negative
2784,ninth filled circuit trump effort stop false asylum illegal via,Negative
2786,bitch face tat,Negative
2795,liberalism disease violence stupidity laziness hate trump make great,Negative
2797,stop thinking like tired eagle,Negative
2806,damn mess,Negative
2812,slide resignation got switch,Negative
2818,dead ion want bread,Negative
2824,hard today ice exhausted exhausted best way,Negative
2829,calling racist research everything know reproductive maternal health evidence based,Negative
2843,happen live different state crushing depression,Negative
2850,someone lying woman name pro life,Negative
2853,killing sleep,Negative
2855,know second family face would like anger found gone may hurt let forgive,Negative
2860,nasty,Negative
2865,well damn,Negative
2869,remember lost year,Negative
2871,hope actually kill guy,Negative
2883,ridiculous,Negative
2890,weird,Negative
2893,tired move different,Negative
2922,suddenly bust snap story except people pretend get live,Negative
2923,state propaganda,Negative
2926,good hate,Negative
2935,nothing like back alma mater university,Negative
2938,lied least thanks,Negative
2939,something incredibly dumb,Negative
2940,want make really like man could spectrum maybe job something handle take much human interaction ruined disgusted,Negative
2946,killer instinct,Negative
2961,rascal hard,Negative
2970,guy got hard forgot going king first place,Negative
2982,edit terrible idea great think abuse,Negative
2983,horror aspect low key one,Negative
2987,final project international business class mock post international company,Negative
2989,literally piss,Negative
3012,nervous soccer since charge post game guy old team let,Negative
3025,boom non driving as gone wreck head gone fly dick gone hear beautiful noise,Negative
3029,cousin dead as stop cry pipe broke like bitch buy apple,Negative
3032,tough school,Negative
3036,customer tip as said damn self,Negative
3038,detriment laid solar energy production bad decision oil expedite worsening effect climate change via much atmosphere oil learned science class right,Negative
3042,poor guy sometimes carry outside pee,Negative
3048,funny mad people pathetic little as,Negative
3049,sorry nightmare,Negative
3060,refuse take oath throw country overrun law,Negative
3063,story time riot energy center,Negative
3067,wait till see worn,Negative
3083,another penalty second go bin pretty blatant slash still michigan,Negative
3092,humidity wind gust pressure weather,Negative
3093,drinking waiting gloom,Negative
3104,collins pic worst thing happen,Negative
3109,hurt way,Negative
3114,one thing say tonight fox news psychotic joke wonder fox news confused angry wrong stuff show,Negative
3131,chase sent box slashing sending another,Negative
3147,love sad peter parker denial whether pizza depression,Negative
3158,lux unsure nonsense tonight,Negative
3171,miss fast,Negative
3173,overtime loss neither tank come soon,Negative
3175,worse,Negative
3179,even baker statue yet add another worried spot boomer,Negative
3186,buddy told high school teacher walter freshman varsity soccer team together killing imagine team,Negative
3188,drinking bomb,Negative
3193,stop partisan politics focus collective start,Negative
3205,bad game legal hit,Negative
3206,soft shooting hard bay,Negative
3215,nervous,Negative
3225,beat wet slide make cum cum fire,Negative
3227,finish could actually take due dead giving anyone available,Negative
3246,ever something hurt bad move matter much time,Negative
3247,keep negative energy away,Negative
3274,know blocked,Negative
3288,coffee dangerous game babe,Negative
3295,sad,Negative
3298,dick tho,Negative
3302,sign stick though five made prominently displayed office depot anxiously explanation,Negative
3309,use mad snubbed worth,Negative
3317,must strange small part something,Negative
3322,pain knee,Negative
3327,butt funky pussy naked,Negative
3329,tell guilty charge wait watch come,Negative
3337,kind idiotic parent child idea even mean start understanding basic life old failure satisfy sick need self affirmation,Negative
3347,jetty selling said probably get murphy wrong,Negative
3365,disgrace,Negative
3383,feel le bad also much apple scent,Negative
3389,frustration madden way tell account,Negative
3393,miss,Negative
3400,sing top although cannot sing mean sing song wrong damn country country song sing,Negative
3401,nothing better shutout,Negative
3404,damn stain taking,Negative
3406,quite dumb even though adult since family plan even make without organizer use payment hell,Negative
3416,liberal embarrassing realize,Negative
3426,get every day mad annoying,Negative
3432,dribble nowhere favorite talking song,Negative
3447,hell yeah,Negative
3449,watched bad game tonight right move,Negative
3459,stress dress,Negative
3461,lost,Negative
3480,depressing thread,Negative
3496,take seriously dinner show brewing company,Negative
3519,driving home judge leave porch,Negative
3520,anyone annoying,Negative
3528,stopped sober cause turn whenever,Negative
3532,every year tired,Negative
3536,type fight hair toe toe,Negative
3542,anxiety,Negative
3548,moron,Negative
3550,like report case bullying,Negative
3567,river dale worst show ever season one absolute tank need come back,Negative
3578,ride stop drive avoid,Negative
3582,gun show,Negative
3585,democrat douche,Negative
3586,know passive aggressive work know wrong man uncomfortable laughing face money work rob way around,Negative
3590,apparently much sleep kill coming funeral get enough,Negative
3595,pathetic know,Negative
3598,wow nervous game bad poor still time,Negative
3609,please person drown show unpleasant,Negative
3615,dead,Negative
3624,jerk,Negative
3625,trying stress situation getting tired waiting,Negative
3630,unfortunately right remain silent fortunately mental capacity toddler waiting noose trump,Negative
3632,shame finishing brock purdy,Negative
3637,chad trying force ministry thing always taught never force platform allow come come mishandle,Negative
3642,post event depressed duo,Negative
3645,dam buddy got curse win lose first round,Negative
3653,liar,Negative
3660,worst feeling,Negative
3661,came time bomb,Negative
3663,month ago made one life move away never tought would make crazy decision like today living one crazy,Negative
3665,hurt,Negative
3667,petty,Negative
3673,missing,Negative
3678,remember sam high flying offense ago,Negative
3687,shoot idiot shoot,Negative
3694,bad pick whoever ashamed country,Negative
3703,landmark criminal trial weapon system concerned via wale people,Negative
3706,getting heart broke,Negative
3708,saying penalty worse,Negative
3711,feminism stupid,Negative
3715,amen also stop getting angry fall back focus saying people really understand hard word people,Negative
3723,kill whole family,Negative
3757,would never look like throwing ball,Negative
3763,liar,Negative
3764,one wanting get make money new trend stop working people getting told wake sleep control life new trend,Negative
3766,literally sat bam like hell,Negative
3768,dirty,Negative
3769,dead still drank,Negative
3795,broke heart,Negative
3805,tiff faze fight jake,Negative
3807,bitch as,Negative
3809,cloudy rainy day,Negative
3813,told could house cannot get best friend,Negative
3814,see skywriting resignation letter,Negative
3815,leave fingerprint vehicle question person case court,Negative
3816,miss hearing blood live,Negative
3827,cry,Negative
3828,one make suffer,Negative
3830,nightly tweet much graveyard,Negative
3834,hell family liberal,Negative
3835,leave today,Negative
3836,old get job hard enough record family money nothing,Negative
3844,hell even get,Negative
3846,wall finished point sexton gave sad,Negative
3854,annoying nothing,Negative
3859,war video game,Negative
3864,idiot mind debate ridiculous,Negative
3891,ruined dating,Negative
3892,sad rip,Negative
3894,weak as,Negative
3900,drunk,Negative
3904,pleading time douse hair fire spontaneously forth reaction smart people erroneously dangerously separating oligarchy synonymous coincidental one room room,Negative
3910,tired bos,Negative
3918,give damn offset,Negative
3922,hate people give backhanded,Negative
3927,hate missing,Negative
3933,damn beyond immature,Negative
3936,nothing like hot bath sick,Negative
3937,nothing fun invite assume work,Negative
3945,idiot way said saw bitch like carol,Negative
3947,gone miss,Negative
3948,hell,Negative
3949,sometimes horrible defense,Negative
3959,point thing known aside bitter,Negative
3964,got right terribly upset got added run factor ridiculously far back completely insane,Negative
3965,grandma still found anyone campus two nope grandma interesting yep,Negative
3983,people heart turned bad guy,Negative
3985,want chick bad,Negative
3988,hate,Negative
3991,right probably girl cry stupid scum bag deserve cute as,Negative
3992,damn got tuck brother tonight,Negative
4000,want explain stock market gain entire year horrible failure,Negative
4004,mad someone one hurt stupid,Negative
4030,brothel bust usually hide small,Negative
4031,also primary sport football team chance take risk cause contract non guy injure sport cut going baseball le dangerous opposite baseball football way risky,Negative
4032,state think went went discus research done come conclusion way random conspiracy,Negative
4033,racist county,Negative
4034,stay pressure none,Negative
4037,slide made purpose person fired,Negative
4041,miss never let know,Negative
4053,never met friend,Negative
4055,engineer found dead new york headquarters report,Negative
4068,crazy cause still get wit,Negative
4070,nonetheless unemployment appear significant factor walkway,Negative
4078,poor,Negative
4079,follow book line leave review gone girl hair studio text,Negative
4086,cry,Negative
4096,weird cod community,Negative
4098,obnoxious fool show tonight dan tuned late creep,Negative
4103,son yell lot moody,Negative
4105,hell satan,Negative
4111,mean animal collective bitch extra aint even funny mean animal collective bitch,Negative
4116,bitch,Negative
4118,tweet disgust hart stop unless gay son biggest fear dad would react way hart get say thank next need apply,Negative
4131,fool,Negative
4138,got tragic,Negative
4145,excuse every single drunk driver stated,Negative
4152,pose ugly whore le happy,Negative
4160,war video game,Negative
4167,broken,Negative
4179,something supposed ineptitude color way let hook violence hack keep hacking,Negative
4190,get catch fight,Negative
4207,mop floor hide wet sign catch slipping,Negative
4212,damn man,Negative
4213,damn got colored room,Negative
4218,swear people stay stuck stupid,Negative
4220,hater,Negative
4248,damn boring,Negative
4254,sun freezing cold michigan,Negative
4258,damn,Negative
4279,undercut grow death,Negative
4284,girl hell bad,Negative
4289,brother incredible person saved used position seek personal revenge screwed town around,Negative
4294,officially time year take depression one day,Negative
4299,people actually suck bad,Negative
4300,pressure whatsoever,Negative
4301,accident hit run priority ave exit police,Negative
4307,miss people,Negative
4310,remember watching sophomore year school thinking cold hell get taller dude got taller exactly high school,Negative
4322,said let high waste,Negative
4324,mike bad,Negative
4348,trump climate change real wrong,Negative
4355,knew crew agreed tua game bad,Negative
4367,damn,Negative
4368,drinking raging bitch chandler,Negative
4371,lost nobody talk,Negative
4374,moral resonance murder world,Negative
4378,damn hate notice everything,Negative
4381,nothing respect redeemer,Negative
4383,shout first lady today grade game today unfortunately told get trouble next workout,Negative
4384,make set count looking dangerous melano field,Negative
4386,phone really looking crazy,Negative
4403,hurry indict family suspense killing country include,Negative
4407,sir fault fact coach tough time since end especially search square whole situation becoming embarrassing university love heart lack leadership,Negative
4408,insane hate trump,Negative
4410,dick,Negative
4425,apparently watch much know could tell whether really got phone around time someone blocked,Negative
4426,fault coach,Negative
4429,mess get double tap head,Negative
4434,barely focus video bitch stop screaming annoying,Negative
4435,please ask look case brown old year old rapist prison,Negative
4441,know school demand,Negative
4442,lately talk lady drop live hustle,Negative
4456,someone bring food leave since homework,Negative
4459,delete ignorant as,Negative
4462,bitch want,Negative
4478,white strip got limit many black hire per shift walk trap take trap,Negative
4479,hate much,Negative
4485,miss much another world,Negative
4497,tell slut,Negative
4503,bitch know blow,Negative
4508,finished sad almost everyone foster city,Negative
4513,broke get along,Negative
4516,irony,Negative
4527,damn fine,Negative
4533,damn,Negative
4534,seriousness someone still college behave immaturely,Negative
4537,art talking people via discord add discord,Negative
4538,ball got stuck,Negative
4551,dead as forget drinking taste good around forget life,Negative
4556,belief trump belief end paranoid crook believe come conclusion trump end,Negative
4565,blame,Negative
4573,jack fired,Negative
4574,day damn time,Negative
4578,collision milepost near blocking right lane beginning notice,Negative
4583,finally get right gon know act damn self,Negative
4592,one miss wren,Negative
4601,stop fighting part time tho,Negative
4610,worst lead soccer yeah take second goal every time,Negative
4626,total jerk never watch,Negative
4631,disgrace game,Negative
4636,get mad one question,Negative
4645,jerk believe show,Negative
4646,skip stop,Negative
4647,remember used think enough yeah dumb know,Negative
4658,stop,Negative
4660,better barred bar war far,Negative
4667,sure help biggest problem trying turn market around disturbing order flow guest saying good breath pause insane problem stop hunting,Negative
4672,reading people actually stupid obviously joke,Negative
4677,dude really serious,Negative
4684,suffer fate brother,Negative
4693,hit brutal also would instigator hit,Negative
4699,suicide happen parking garage apartment complex ago scary apartment look see multiple idea happening,Negative
4702,fight night,Negative
4709,even grown woman incident sentence outrageous self defense fact child sad injustice trial act matter age,Negative
4725,testimony fired director previous testimony gen via,Negative
4730,die,Negative
4745,last game hurt,Negative
4755,fight crazy damn near,Negative
4756,heart swear would take back could,Negative
4763,finally giving trailer knew none actually prepared marvel,Negative
4795,call yesterday apparently warrant arrest mistake income yes know scam,Negative
4811,broke nail pain really whole life,Negative
4813,hate,Negative
4819,bad bitch,Negative
4823,live ignorance,Negative
4831,say hate watch,Negative
4832,made feel uneasy,Negative
4834,believe might want check real lawyer keep propaganda everyone joke cheap bitch,Negative
4847,crazy living day day,Negative
4848,baby killing sorry keep posting totally sorry,Negative
4853,seriously,Negative
4859,macron worst leader ever,Negative
4863,travis higher bitch,Negative
4875,finished reading came away simply figurehead know key knowledgeable key director would know except negative crap ready,Negative
4880,lane cry video,Negative
4882,tell ugly,Negative
4889,better barred bar war far,Negative
4891,lar face mean hard keep,Negative
4895,get way many donated sick price put except course goodwill,Negative
4900,tell first goal bad,Negative
4901,old tired broke long recover,Negative
4910,ridiculous,Negative
4921,damn lit wit dad,Negative
4925,doubt,Negative
4926,shopping tonight spent hour two decided leave madness,Negative
4928,annoying seen worse taken independence high school,Negative
4943,going steal someone tweet apa format someone pull,Negative
4948,first child boy gone lose,Negative
4963,least find fired tweet sitting,Negative
4968,walk room full people speak rude,Negative
4972,seriously,Negative
4984,irritating,Negative
5005,drip drown,Negative
5008,hell pack,Negative
5015,ugly sweater long sleeve available limited school week first come first serve,Negative
5018,someone tell stop getting cold,Negative
5022,art war,Negative
5026,knock hairline least like,Negative
5027,winter storm warning national weather service winter storm warning dyer lake beginning ending sun,Negative
5031,control annoying,Negative
5036,hey guy live might little much think block sorry guy nothing respect,Negative
5045,seem confused ford talking talking man control clue according going watch joke embarrassment,Negative
5047,look depressed lost public space much likely religion cult lot,Negative
5058,apex development associate essentially assistant terrifying year step due moving week project developer,Negative
5070,injured,Negative
5078,hell naw,Negative
5081,stop fake as feminist,Negative
5088,scraping quite odd,Negative
5089,girl make dumb joke,Negative
5091,come lose momentum,Negative
5115,stop right,Negative
5140,sleep headache week already exhausting,Negative
5150,praying peacefully resist heartbroken brutality police stand people,Negative
5176,damn busted,Negative
5177,yeah killing stage miss event saint,Negative
5180,swear people built,Negative
5195,thought got tired burning,Negative
5206,damn twitter want scroll scroll hell hard,Negative
5219,equally shook confused,Negative
5244,feel every time talk back home tell may visit one way another tell even worth coming sad hear missing nothing week,Negative
5246,told unlawful forced feral kyle brother spatial specialist,Negative
